00662; 10348; Braunschweig; 52.2915; 10.4464
00704; 10139; Bremervörde; 53.4451; 9.1390
01048; O454 ; Dresden-Klotzsche; 51.1280; 13.7543
01078; 10400; Düsseldorf; 51.2960; 6.7686
01200; 10130; Elpersbüttel; 54.0691; 9.0105
01262; 10870; München-Flughafen; 48.3477; 11.8134
01270; 10554; Erfurt-Weimar; 50.9829; 10.9608
01346; 10908; Feldberg/Schwarzwald; 47.8749; 8.0038
01357; P182 ; Fichtelberg/Oberfranken-Hüttstadl; 49.9807; 11.8376
01303; 10410; Essen-Bredeney; 51.4041; 6.9677
01420; L838 ; Frankfurt/Main; 50.0259; 8.5213
01468; 10815; Freudenstadt; 48.4538; 8.4090
01503; 10210; Friesoythe-Altenoythe; 53.0643; 7.9022
01550; 10963; Garmisch-Partenkirchen; 47.4830; 11.0621
01612; 10567; Gera-Leumnitz; 50.8813; 12.1289
01639; 10532; Gießen/Wettenberg; 50.6017; 8.6439
01684; 10499; Görlitz; 51.1622; 14.9506
01691; 10444; Göttingen; 51.5002; 9.9507
01766; 10315; Münster/Osnabrück; 52.1344; 7.6969
01803; B334 ; Groß Lüsewitz; 54.0714; 12.3238
01832; 10791; Großer Arber; 49.1129; 13.1338
01869; 10289; Grünow; 53.3153; 13.9338
01886; P606 ; Günzburg; 48.4878; 10.2608
01975; 10147; Hamburg-Fuhlsbüttel; 53.6332; 9.9881
02171; 10542; Hersfeld, Bad; 50.8520; 9.7377
02252; O598 ; Bertsdorf-Hörnitz; 50.8990; 14.7457
02290; 10962; Hohenpeißenberg; 47.8009; 11.0108
02483; 10427; Kahler Asten; 51.1803; 8.4891
02485; 10747; Kaisersbach-Cronhütte; 48.9170; 9.6871
02564; 10046; Kiel-Holtenau; 54.3776; 10.1424
02597; 10658; Kissingen, Bad; 50.2240; 10.0792
02601; P0050; Kleiner Feldberg/Taunus; 50.2218; 8.4469
02667; 10513; Köln-Bonn; 50.8646; 7.1575
02878; N769 ; Lauchstädt, Bad; 51.3909; 11.8786
02928; 10471; Leipzig-Holzhausen; 51.3151; 12.4462
02932; 10469; Leipzig/Halle; 51.4348; 12.2396
02985; 10591; Lichtenhain-Mittelndorf; 50.9383; 14.2093
03028; 10430; Lippspringe, Bad; 51.7854; 8.8388
03032; 10020; List auf Sylt; 55.0110; 8.4125
03086; 10156; Lübeck-Blankensee; 53.8025; 10.6989
03093; 10253; Lüchow; 52.9724; 11.1374
03098; 10418; Lüdenscheid; 51.2452; 7.6425
03167; 10526; Marienberg, Bad; 50.6621; 7.9603
03268; 10827; Meßstetten-Appental; 48.1694; 8.9433
03287; L947 ; Michelstadt-Vielbrunn; 49.7176; 9.0997
03362; 10736; Mühlacker; 48.9721; 8.8734
03366; 10875; Mühldorf; 48.2790; 12.5024
03376; F475 ; Müncheberg; 52.5176; 14.1232
03379; 10865; München-Stadt; 48.1632; 11.5429
03402; K2753; Münsingen-Apfelstetten; 48.3851; 9.4837
03513; 10557; Neuhaus am Rennweg; 50.5002; 11.1344
03660; 10506; Nürburg-Barweiler; 50.3602; 6.8697
03668; 10763; Nürnberg; 49.5030; 11.0549
03761; 10742; Öhringen; 49.2070; 9.5176
04036; N748 ; Querfurt-Mühle Lodersleben; 51.3895; 11.5412
04094; Q879 ; Weingarten, Kr. Ravensburg; 47.8062; 9.6206
04271; P0175; Rostock-Warnemünde; 54.1803; 12.0808
04336; 10708; Saarbrücken-Ensheim; 49.2128; 7.1077
04371; 10325; Salzuflen, Bad; 52.1042; 8.7521
04393; EW020; Sankt Peter-Ording; 54.3279; 8.6031
04501; 10552; Schmücke; 50.6546; 10.7693
04887; 10836; Stötten; 48.6656; 9.8648
04928; 10739; Stuttgart (Schnarrenberg); 48.8281; 9.2000
04931; 10738; Stuttgart-Echterdingen; 48.6883; 9.2235
05100; 10609; Trier-Petrisberg; 49.7479; 6.6583
05142; 10193; Ueckermünde; 53.7444; 14.0697
05349; 10268; Waren (Müritz); 53.5196; 12.6654
05404; 10863; Weihenstephan-Dürnast; 48.4024; 11.6946
05440; 10761; Weißenburg-Emetzheim; 49.0115; 10.9308
05516; EW027; Fehmarn; 54.5283; 11.0606
05538; P831 ; Wielenbach (Demollstr.); 47.8827; 11.1576
05705; 10655; Würzburg; 49.7704; 9.9576
05779; 10582; Zinnwald-Georgenfeld; 50.7314; 13.7516
05856; 10895; Fürstenzell; 48.5451; 13.3532
06159; K1091; Dörpen; 52.9542; 7.3196
06163; 10150; Dörnick; 54.1654; 10.3519
07369; 10756; Feuchtwangen-Heilbronn; 49.1623; 10.3661
07370; 10782; Waldmünchen; 49.3910; 12.6838
07394; 10686; Wunsiedel-Schönbrunn; 50.0315; 11.9745
07396; 10534; Hoherodskopf/Vogelsberg; 50.5084; 9.2247
07403; 10945; Leutkirch-Herlazhofen; 47.7955; 10.0324
07412; 10646; Neuhütten/Spessart; 50.0083; 9.4238
13711; M765 ; Krölpa-Rockendorf; 50.6820; 11.5150
13965; N1043; Balingen-Bronnhaupten; 48.2639; 8.8134
15207; 10441; Schauenburg-Elgershausen; 51.2835; 9.3590
15444; 10840; Ulm-Mähringen; 48.4418; 9.9216
